Global ID	Label	Unnamed: 2	NYU40 Mapping	Unnamed: 4	Eigen Mapping	Unnamed: 6	RIO27 Mapping	Unnamed: 8	RIO7 Mapping	#sum	#train	#test	#val	category
1	air conditioner	40	otherprop	7	Objects	26	object	0	-	32	32	3	0	air conditioner
2	apron	40	otherprop	7	Objects	14	clothes	0	-	4	4	0	0	cloth
3	aquarium	40	otherprop	7	Objects	26	object	0	-	4	4	0	0	aquarium
4	armchair	5	chair	4	Chair	5	chair	1	seating	375	332	38	43	armchair
5	armoire	3	cabinet	6	Furniture	3	cabinet	0	-	5	0	0	5	cabinet
6	armor	40	otherprop	7	Objects	14	clothes	0	-	4	4	0	0	cloth
7	audio system	40	otherprop	7	Objects	26	object	0	-	2	2	0	0	stereo
8	baby bed	39	otherfurniture	6	Furniture	0	-	0	-	8	8	0	0	bed
9	baby changing table	7	table	10	Table	7	table	0	-	2	2	0	0	table
10	baby changing unit	39	otherfurniture	6	Furniture	7	table	0	-	8	8	0	0	table
11	baby gym	39	otherfurniture	6	Furniture	0	-	0	-	2	2	0	0	furniture
12	baby seat	5	chair	4	Chair	5	chair	0	-	3	3	0	0	baby seat
13	baby toys	40	otherprop	7	Objects	26	object	0	-	4	4	0	0	toy
14	backpack	40	otherprop	7	Objects	26	object	6	items	110	106	22	4	backpack
15	bag	37	bag	7	Objects	26	object	6	items	458	422	62	36	bag
16	balcony	40	otherprop	7	Objects	0	-	0	-	4	4	0	0	balcony
17	balcony door	8	door	0	-	8	door	0	-	12	12	0	0	door
18	ball	40	otherprop	7	Objects	0	-	6	items	18	14	9	4	ball
19	bar	38	otherstructure	0	-	10	counter	0	-	30	27	0	3	counter
20	bar stool	5	chair	4	Chair	5	chair	0	-	14	14	0	0	stool
21	barrel	40	otherprop	7	Objects	0	-	0	-	11	11	0	0	barrel
22	barstool	40	otherprop	7	Objects	5	chair	0	-	7	7	0	0	stool
23	basin	40	otherprop	7	Objects	0	-	0	-	9	6	0	3	basin
24	basket	40	otherprop	7	Objects	20	box	0	-	237	227	8	10	basket
25	bath cabinet	3	cabinet	6	Furniture	3	cabinet	2	table / cabinet	156	132	9	24	cabinet
26	bath counter	12	counter	6	Furniture	10	counter	0	-	3	3	0	0	counter
27	bath rack	15	shelves	6	Furniture	11	shelf	0	-	2	2	0	0	rack
28	bath robe	40	otherprop	7	Objects	0	-	0	-	6	6	0	0	bathrobe
